Language,Title
en,Reasoning
gsw,Vernunft
ar,عقل (منطق)
as,যুক্তি
ast,Razón
bn,বিচারবুদ্ধি
nan,Lí-sèng
ba,Аң
bg,Разум
bs,Razum
bxr,Оюун
ca,Raó
cv,Ăс-тăн
cs,Rozum
cy,Rhesymu
da,Fornuft
de,Vernunft
et,Mõistus
el,Λόγος (φιλοσοφία)
myv,Нарумнячи
es,Razón
eo,Racio
eu,Arrazoi
fa,عقل
fr,Raison
ga,Réasúnú
gl,Razón
gu,તર્ક
ko,이성
hy,Բանականություն
hi,तर्क-वितर्क
hr,Razum
id,Akal
ia,Ration
is,Skynsemi
it,Ragione
kbp,Rɛɛzɔɔ (raison)
ka,გონება
kk,Пайым
ht,Rezon
gcr,Rézon
ku,Aqil
la,Ratio
lv,Spriešana
lt,Protavimas
mk,Разум
ms,Akal
fj,Vuna
nl,Rede
ja,理性
ce,Хьекъал
nb,Fornuft
nn,Fornuft
oc,Rason
ps,دلیل
pl,Rozum
pt,Razão
ro,Rațiune
qu,Humu
ru,Разум
sco,Raison
sq,Arsyeja
scn,Raggiuni
en-simple,Reason
sd,عقل
sk,Rozum
sl,Razum
so,Macquul
ckb,ئاوەز
sr,Разум
sh,Razum
fi,Järki
sv,Förnuft
ta,காரணம்
tt,Акыл
th,เหตุผล
tg,Шуур
tr,Akıl
uk,Розум (філософія)
vi,Lý trí
wuu,理智
yi,סברה
yue,理性
zh,理智
