Language,Title
en,Necessary and sufficient condition
am,በቂና አስፈላጊ
ar,شرط ضروري وشرط كاف
azb,گرک ایله گؤرر
ca,Condició necessària i suficient
cs,Nutná a postačující podmínka
de,Notwendige und hinreichende Bedingung
es,Condición necesaria y suficiente
eo,Neceso kaj sufiĉo
eu,Beharrezkotasuna eta nahikotasuna
fa,لازم و کافی
ko,필요충분조건
hy,Անհրաժեշտ և բավարար պայմաններ
ia,Necessitate e sufficientia
it,Condizione necessaria e sufficiente
kk,Қажетті және жеткілікті шарттар
my,ဧကန်မုချဖြစ်ခြင်းနှင့် လုံလောက်ခြင်း
nl,Noodzakelijke en voldoende voorwaarde
pt,Necessidade e suficiência
ru,Необходимое и достаточное условия
en-simple,Necessary and sufficient conditions
ckb,پێویستی و بەشکردوویی
fi,Välttämätön ja riittävä ehto
sv,Nödvändiga och tillräckliga villkor
uk,Необхідна і достатня умова
vi,Cần và đủ
yue,充分必要條件
zh,充分必要条件
