Language,Title
en,Systems of linear equations
gsw,Lineares Gleichungssystem
ar,نظام معادلات خطية
an,Sistema d'ecuacions lineals
ast,Sistema d'ecuaciones lliniales
az,Xətti tənliklər sistemi
ba,Һыҙыҡлы алгебраик тигеҙләмәләр системаһы
be,Сістэма лінейных алгебраічных ураўненняў
be-tarask,Сыстэма лінейных альгебраічных раўнаньняў
bg,Система линейни уравнения
bs,Sistem linearnih jednačina
ca,Sistema d'equacions lineals
cv,Линилле алгебрăлла танлăхсен тытăмĕ
cs,Soustava lineárních rovnic
de,Lineares Gleichungssystem
et,Lineaarvõrrandisüsteem
el,Σύστημα γραμμικών εξισώσεων
es,Sistema de ecuaciones lineales
eo,Sistemo de linearaj ekvacioj
eu,Ekuazio linealetako sistema
fa,دستگاه معادلات خطی
hif,System of linear equations
fr,Système d'équations linéaires
gl,Sistema de ecuacións lineais
ko,연립 일차 방정식
hy,Գծային հավասարումների համակարգ
hi,रैखिक समीकरण निकाय
hr,Sustav linearnih jednadžbi
id,Sistem persamaan linear
ia,Systema de equationes linear
is,Línulegt jöfnuhneppi
it,Sistema di equazioni lineari
he,מערכת משוואות ליניאריות
la,Systema aequationum linearium
lv,Lineāru vienādojumu sistēma
lmo,Sistema de equazion linear
hu,Lineáris egyenletrendszer
mk,Систем на линеарни равенки
ms,Sistem persamaan linear
nl,Stelsel van lineaire vergelijkingen
ja,線型方程式系
nb,Lineært ligningssystem
nn,Lineært likningssystem
oc,Sistèma d'equacions linearas
pa,ਰੇਖੀ ਸਮੀਕਰਨਾਂ ਦਾ ਤੰਤਰ
pnb,لینیر ایکوایشنز دا پربندھ
pl,Układ równań liniowych
pt,Sistema de equações lineares
ro,Sistem de ecuații liniare
ru,Система линейных алгебраических уравнений
si,ඒකජ සමීකරණ පද්ධතිය
en-simple,System of linear equations
sd,سِڌِر مساواتُن جو سرشتو
sk,Sústava lineárnych rovníc
sl,Sistem linearnih enačb
ckb,سیستمی ھاوکێشەی ھێڵی
sr,Систем линеарних једначина
sh,Sistem linearnih jednačina
fi,Lineaarinen yhtälöryhmä
sv,Linjärt ekvationssystem
ta,நேரியல் சமன்பாடுகளின் தொகுப்பு
tt,Сызыкча алгебраик тигезләмәләр системасы
th,ระบบสมการเชิงเส้น
tr,Doğrusal denklem dizgesi
uk,Система лінійних алгебраїчних рівнянь
ur,یکلخت لکیری مساوات کا نظام
vi,Hệ phương trình tuyến tính
war,Sistema han ekawsyones linyales
wuu,线性方程组
yue,線性方程組
zh,线性方程组
